DATE,A191RL1Q225SBEA
1971-01-01,4.27592
1971-04-01,1.8601
1971-07-01,1.85112
1971-10-01,1.07177
1972-01-01,3.38672
1972-04-01,2.90588
1972-07-01,1.91074
1972-10-01,2.97063
1973-01-01,3.6561
1973-04-01,2.64227
1973-07-01,1.41107
1973-10-01,2.96066
1974-01-01,1.01064
1974-04-01,2.60507
1974-07-01,1.95875
1974-10-01,2.54182
1975-01-01,1.02752
1975-04-01,2.21129
1975-07-01,3.50921
1975-10-01,3.0419
1976-01-01,3.32926
1976-04-01,1.74926
1976-07-01,1.84772
1976-10-01,2.52921
1977-01-01,2.81113
1977-04-01,3.38225
1977-07-01,3.04313
1977-10-01,2.16179
1978-01-01,1.77843
1978-04-01,5.85052
1978-07-01,2.71998
1978-10-01,3.41938
1979-01-01,2.00493
1979-04-01,2.55825
1979-07-01,2.94522
1979-10-01,2.11121
1980-01-01,2.42151
1980-04-01,0.26919
1980-07-01,2.11382
1980-10-01,4.51863
1981-01-01,4.64399
1981-04-01,1.22674
1981-07-01,3.10122
1981-10-01,0.61979
1982-01-01,-0.19861
1982-04-01,1.76129
1982-07-01,1.03092
1982-10-01,1.07652
1983-01-01,2.08231
1983-04-01,3.03549
1983-07-01,3.08286
1983-10-01,2.86045
1984-01-01,2.987
1984-04-01,2.5984
1984-07-01,1.86176
1984-10-01,1.57436
1985-01-01,1.96736
1985-04-01,1.52994
1985-07-01,2.13943
1985-10-01,1.30668
1986-01-01,1.43561
1986-04-01,0.83068
1986-07-01,1.37127
1986-10-01,1.08424
1987-01-01,1.38545
1987-04-01,1.77893
1987-07-01,1.63114
1987-10-01,2.52713
1988-01-01,1.30547
1988-04-01,2.29954
1988-07-01,1.78802
1988-10-01,2.20855
1989-01-01,2.06952
1989-04-01,1.83642
1989-07-01,1.47711
1989-10-01,0.91078
1990-01-01,2.18303
1990-04-01,1.487
1990-07-01,0.92429
1990-10-01,-0.17262
1991-01-01,0.50702
1991-04-01,1.51916
1991-07-01,1.29063
1991-10-01,0.94431
1992-01-01,1.57333
1992-04-01,1.69196
1992-07-01,1.48171
1992-10-01,1.73851
1993-01-01,0.7283
1993-04-01,1.18108
1993-07-01,1.07446
1993-10-01,1.91279
1994-01-01,1.45306
1994-04-01,1.84493
1994-07-01,1.1611
1994-10-01,1.69434
1995-01-01,0.8987
1995-04-01,0.78045
1995-07-01,1.34716
1995-10-01,1.16438
1996-01-01,1.23359
1996-04-01,2.089
1996-07-01,1.22706
1996-10-01,1.57861
1997-01-01,1.2456
1997-04-01,1.86747
1997-07-01,1.69035
1997-10-01,1.18996
1998-01-01,1.14732
1998-04-01,1.16415
1998-07-01,1.68788
1998-10-01,1.89554
1999-01-01,1.32637
1999-04-01,1.13502
1999-07-01,1.65583
1999-10-01,2.2467
2000-01-01,1.04531
2000-04-01,2.44752
2000-07-01,0.70402
2000-10-01,1.15506
2001-01-01,0.3243
2001-04-01,1.19301
2001-07-01,-0.01442
2001-10-01,0.60398
2002-01-01,1.20689
2002-04-01,0.96631
2002-07-01,0.90739
2002-10-01,0.72245
2003-01-01,1.01201
2003-04-01,1.15677
2003-07-01,2.24922
2003-10-01,1.74586
2004-01-01,1.2821
2004-04-01,1.58402
2004-07-01,1.60503
2004-10-01,1.7807
2005-01-01,1.90787
2005-04-01,1.16512
2005-07-01,1.80365
2005-10-01,1.44141
2006-01-01,2.03728
2006-04-01,1.07229
2006-07-01,0.85574
2006-10-01,1.22415
2007-01-01,1.22062
2007-04-01,1.22316
2007-07-01,1.0613
2007-10-01,1.0079
2008-01-01,-0.20749
2008-04-01,1.05502
2008-07-01,0.19976
2008-10-01,-1.85804
2009-01-01,-1.13325
2009-04-01,-0.28967
2009-07-01,0.47003
2009-10-01,1.44039
2010-01-01,0.63802
2010-04-01,1.39082
2010-07-01,1.03054
2010-10-01,1.06715
2011-01-01,0.29516
2011-04-01,1.37618
2011-07-01,0.61732
2011-10-01,1.31229
2012-01-01,1.4136
2012-04-01,0.8271
2012-07-01,0.64941
2012-10-01,0.62564
2013-01-01,1.28816
2013-04-01,0.41241
2013-07-01,1.26712
2013-10-01,1.39114
2014-01-01,0.12538
2014-04-01,1.91969
2014-07-01,1.65634
2014-10-01,0.72372
2015-01-01,0.75219
2015-04-01,1.30797
2015-07-01,0.68777
2015-10-01,0.03332
2016-01-01,0.4003
2016-04-01,1.15592
2016-07-01,0.90942
2016-10-01,0.98443
2017-01-01,1.04544
2017-04-01,0.86615
2017-07-01,1.31766
2017-10-01,1.56644
2018-01-01,1.22622
2018-04-01,1.72105
2018-07-01,1.16808
2018-10-01,0.71351
2019-01-01,0.96193
2019-04-01,1.14433
